,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
25212,74940,Howe,OK,34.956272,-94.63333,2697.0,132.7836250120441,35.330898,-93.247162
7716,72642,Lakeview,AR,36.378546,-92.53817,1979.0,132.90703812211626,35.330898,-93.247162
11378,65739,Ridgedale,MO,36.531361,-93.28199000000001,1326.0,133.56413521836225,35.330898,-93.247162
12853,72555,Marcella,AR,35.758314,-91.86797,182.0,133.5673891798518,35.330898,-93.247162
3447,65733,Protem,AR,36.483329,-92.81449,217.0,133.9801153215639,35.330898,-93.247162
3448,65733,Protem,AR,36.483329,-92.81449,503.0,133.9801153215639,35.330898,-93.247162
19571,72756,Rogers,AR,36.342234999999995,-94.07141,38455.0,134.82572739614884,35.330898,-93.247162
17,72567,Pleasant Grove,AR,35.819261,-91.88291,262.0,134.84595981065513,35.330898,-93.247162
26943,71971,Umpire,AR,34.299569,-94.03479,513.0,135.39708027855144,35.330898,-93.247162
13148,65611,Blue Eye,MO,36.54602,-93.34364000000001,1969.0,135.43677001869332,35.330898,-93.247162
20068,72758,Rogers,AR,36.306616,-94.14622,33487.0,135.47505503057863,35.330898,-93.247162
32025,72086,Lonoke,AR,34.7964,-91.90949,10727.0,135.52079671082433,35.330898,-93.247162
1043,71959,Newhope,AR,34.229742,-93.88694,754.0,135.71181742226378,35.330898,-93.247162
